日付	時刻	勝ち点	順位
9/4	13:57	22	1137
9/4	14:15	21	1640
9/4	15:34	23	2156
9/4	15:54	3	337872
9/4	17:04	17	23735
9/4	17:22	26	1659
9/4	17:32	17	26912
9/4	17:45	15	42165
9/4	18:21	12	125800
9/4	18:54	22	10000
9/4	19:08	21	15065
9/4	19:31	28	766
9/4	19:49	7	428370
9/4	20:08	21	22116
9/4	20:40	18	50713
9/4	20:54	21	32585
9/4	20:57	20	34627
9/4	21:03	21	26367
9/4	21:05	19	55598
9/4	21:09	26	5311
9/4	21:18	18	66699
9/4	21:26	7	449936
9/4	21:34	20	41658
9/4	22:28	21	41990
9/4	22:44	21	50410
9/4	22:49	10	364913
9/4	23:06	13	232031
9/4	23:11	16	141994
9/4	23:23	15	199800
9/4	23:27	21	49958
9/4	23:28	20	61000
9/4	23:40	25	13499
9/4	23:48	28	2425
9/4	23:49	18	113068
9/4	23:50	21	63102
9/4	23:57	25	15862
9/4	23:57	25	18096
9/5	00:15	26	11767
9/5	00:32	27	9662
9/5	00:40	27	5918
9/5	00:49	21	65350
9/5	01:00	25	17479
9/5	01:11	21	52312
9/5	01:16	19	108112
9/5	01:22	19	108630
9/5	01:58	19	118316
9/5	02:12	22	65242
9/5	02:14	30	921
9/5	02:54	23	47662
9/5	03:30	23	49660
9/5	03:38	19	127262
9/5	03:50	24	31978
9/5	03:55	23	47073
9/5	06:50	16	302217
9/5	07:05	25	28143
9/5	07:16	17	280029
9/5	07:34	12	580360
9/5	07:46	10	775049
9/5	07:55	25	37961
9/5	08:04	15	367099
9/5	08:43	25	24203
9/5	08:46	22	103328
9/5	09:11	21	135425
9/5	09:24	17	285596
9/5	09:45	22	106322
9/5	09:47	21	143059
9/5	09:55	18	231674
9/5	10:18	12	739451
9/5	10:26	25	30623
9/5	10:28	19	199762
9/5	10:28	26	23960
9/5	10:29	24	62976
9/5	10:46	22	107633
9/5	11:05	24	54317
9/5	11:20	19	206372
9/5	11:33	20	180087
9/5	11:45	18	289962
9/5	11:48	19	190043
9/5	11:49	21	132881
9/5	11:49	20	163779
9/5	12:00	26	26565
