日付	時刻	勝ち点	順位
8/21	20:38	25	10558
8/21	21:06	36	1789
8/21	21:19	15	98577
8/21	21:37	30	6748
8/21	21:49	30	6784
8/21	21:59	23	25615
8/21	22:07	16	98077
8/21	22:17	22	33998
8/21	22:19	30	7251
8/21	23:07	24	29850
8/21	23:20	17	93446
8/21	23:54	29	13098
8/22	0:08	30	13208
8/22	0:08	21	58203
8/22	0:24	19	92949
8/22	0:25	19	86634
8/22	0:27	22	57192
8/22	0:30	30	14436
8/22	0:34	19	88488
8/22	0:45	28	18881
8/22	0:58	22	47673
8/22	0:59	37	3089
8/22	1:04	13	225922
8/22	1:10	25	33686
8/22	1:18	28	23382
8/22	1:20	43	255
8/22	1:26	39	2354
8/22	1:31	39	2424
8/22	1:53	19	106488
8/22	1:59	19	107695
8/22	2:05	42	295
8/22	2:07	21	74786
8/22	2:12	22	66800
8/22	2:15	32	10085
8/22	2:19	17	148076
8/22	2:28	19	114176
8/22	2:40	11	401314
8/22	2:53	36	5988
8/22	4:12	26	46304
8/22	5:11	16	213185
8/22	6:26	14	337944
8/22	6:35	34	11619
8/22	7:01	19	171036
8/22	7:12	13	378310
8/22	7:13	27	51720
8/22	7:35	32	20560
8/22	8:00	18	223149
8/22	8:14	34	13617
8/22	8:22	40	2891
8/22	8:25	26	63357
8/22	8:35	36	8288
8/22	8:37	16	304526
8/22	8:40	34	14660
8/22	8:48	25	68783
8/22	8:54	27	29776
8/22	9:07	20	172597
8/22	9:14	18	239827
8/22	9:16	13	427492
8/22	9:17	20	164955
8/22	9:20	18	216776
8/22	9:28	26	68528
8/22	9:38	27	52691
8/22	9:46	27	61860
8/22	9:51	37	272
8/22	10:09	33	19545
8/22	10:18	35	11432
8/22	10:21	13	482738
8/22	10:30	31	24739
8/22	10:35	9	732568
8/22	10:40	35	3552
8/22	10:45	17	271928
8/22	10:56	20	188278
8/22	11:00	24	102292
8/22	11:03	19	194359
8/22	11:06	19	207189
8/22	11:12	27	60345
8/22	11:13	20	187140
8/22	11:13	33	19773
8/22	11:20	16	345083
8/22	11:26	15	371175
8/22	11:29	32	21625
8/22	11:29	27	64739
8/22	11:31	20	186047
8/22	11:41	20	184220
8/22	11:48	17	286559
8/22	11:52	29	41188
8/22	11:59	43	1214
8/22	12:02	30	37217
8/22	12:02	14	437806
8/22	12:02	39	5427
8/22	12:07	16	348103
8/22	12:13	15	402166
8/22	12:15	22	142645
8/22	12:29	30	38461
8/22	12:33	30	41468
8/22	12:41	19	240103
8/22	12:43	36	11106
8/22	12:47	33	22187
8/22	12:49	12	538120
8/22	12:51	25	85784
8/22	12:52	20	199995
8/22	12:57	20	194295
8/22	12:59	20	203289
8/22	13:03	34	17088
8/22	13:12	15	390561
8/22	13:17	21	182738
8/22	13:17	21	176927
8/22	13:18	13	540353
8/22	13:21	18	282596
8/22	13:28	29	49010
8/22	13:31	17	308017
8/22	13:33	22	158381
8/22	13:37	19	227703
8/22	13:40	24	111912
8/22	13:50	24	117155
8/22	13:51	31	32698
8/22	13:55	25	89995
8/22	14:00	31	33782
8/22	14:02	37	9244
8/22	14:28	20	216219
8/22	14:40	24	125297
8/22	14:48	29	52003
8/22	14:50	21	180797
8/22	14:55	24	123043
8/22	14:58	26	80796
8/22	15:00	26	87432
8/22	15:04	21	187412
8/22	15:06	19	242657
8/22	15:06	16	364799
8/22	15:06	22	170335
8/22	15:07	25	109000
8/22	15:09	35	14546
8/22	15:12	16	367805
8/22	15:17	22	174503
8/22	15:18	25	108049
8/22	15:20	27	76803
8/22	15:23	22	159245
8/22	15:25	15	426805
8/22	15:30	20	223725
8/22	15:30	36	10680
8/22	15:34	17	318364
8/22	15:36	27	76601
8/22	15:36	23	133640
8/22	15:55	15	421661
8/22	16:00	17	325203
8/22	16:00	21	193751
8/22	16:00	23	138818
8/22	16:00	21	203590
8/22	16:00	25	104111
8/22	16:02	31	32861
8/22	16:04	17	350766
8/22	16:05	27	82552
8/22	16:05	17	348575
8/22	16:13	17	348575
8/22	16:20	26	93073
8/22	16:20	33	22354
8/22	16:23	19	275821
8/22	16:25	16	413313
8/22	16:25	30	39586
8/22	16:26	21	190444
8/22	16:31	30	46009
8/22	16:33	20	236444
8/22	16:36	26	91095
8/22	16:38	35	17026
8/22	16:39	30	49194
8/22	16:39	17	352519
8/22	16:44	25	103186
8/22	16:46	31	34974
8/22	16:46	25	103186
8/22	16:50	25	104012
8/22	16:50	22	183090
8/22	16:57	19	265466
8/22	17:03	24	140328
8/22	17:03	20	241751
8/22	17:05	21	220980
8/22	17:11	16	402664
8/22	17:25	27	85016
8/22	17:27	25	121957
8/22	17:31	19	292663
8/22	17:35	25	121978
8/22	17:40	26	96132
8/22	17:51	37	9095
8/22	17:52	22	199155
8/22	18:02	30	53505
8/22	18:11	25	108566
8/22	18:35	27	76803
8/22	18:44	23	161145
8/22	18:50	18	362029
8/22	19:03	21	244505
8/22	19:14	24	159257
8/22	19:17	23	173103
8/22	19:22	25	133969
8/22	19:26	39	6760
8/22	19:30	27	86799
8/22	19:38	25	130239
8/22	19:40	39	6190
8/22	19:50	27	100792
8/22	19:58	31	40868
8/22	20:14	25	142390
8/22	20:18	18	380864
8/22	20:21	35	20534
8/22	20:27	23	191400
8/22	20:34	16	501863
8/22	20:55	40	5755
8/22	21:06	20	306470
8/22	21:09	25	130063
8/22	21:25	27	102384
8/22	21:28	23	197371
8/22	21:30	31	51425
8/22	21:44	41	3663
8/22	21:46	26	123842
8/22	21:47	33	32230
8/22	21:51	27	104810
8/22	21:53	29	77580
8/22	21:54	26	133212
8/22	22:03	22	240080
8/22	22:11	24	192935
8/22	22:12	33	37139
8/22	22:17	37	12926
8/22	22:20	33	33859
8/22	22:24	30	61596
8/22	22:29	30	59745
8/22	22:30	29	83709
8/22	22:31	27	117069
8/22	22:36	20	331255
8/22	22:38	24	175482
8/22	22:39	26	140320
8/22	22:49	32	42103
8/22	23:02	32	40790
8/22	23:05	22	258502
8/22	23:06	24	196982
8/22	23:10	25	173084
8/22	23:12	37	12003
8/22	23:19	25	172978
8/22	23:24	30	73754
8/22	23:25	22	271533
8/22	23:26	24	209840
8/22	23:28	23	221761
8/22	23:32	23	226797
8/22	23:32	24	207692
8/22	23:32	23	222222
8/22	23:34	24	203583
8/22	23:36	25	177832
8/22	23:50	25	157267
8/22	23:55	25	177866
8/23	00:02	25	168592
8/23	00:05	31	61490
8/23	00:06	33	41422
8/23	00:16	24	209971
8/23	00:16	26	138838
8/23	00:24	28	100181
8/23	00:25	32	45351
8/23	00:34	25	158706
8/23	00:35	31	62163
8/23	00:39	32	47732
8/23	00:40	30	74400
8/23	00:43	21	334461
8/23	01:03	24	218453
8/23	01:04	15	683774
8/23	01:16	25	177220
8/23	01:16	23	244280
8/23	01:24	25	184875
8/23	01:25	25	194142
8/23	01:28	22	259504
8/23	01:28	29	90249
8/23	01:43	25	196565
8/23	01:45	33	44902
8/23	01:47	27	130009
8/23	01:53	21	342285
8/23	01:59	19	420168
8/23	02:00	26	162983
8/23	02:07	25	188492
8/23	02:13	29	96046
8/23	02:20	18	469590
8/23	02:59	27	134037
8/23	3:32	30	82139
8/23	7:18	27	152286
8/23	7:18	15	734380
8/23	8:27	20	486606
8/23	8:45	33	56462
8/23	8:51	27	177730
8/23	9:14	37	16272
8/23	9:28	23	322512
8/23	9:51	26	207026
8/23	9:55	27	189864
8/23	10:01	23	326079
8/23	10:01	24	275563
8/23	10:04	28	142081
8/23	10:11	28	134890
8/23	10:19	32	70062
8/23	10:25	27	174686
8/23	10:27	27	165753
8/23	10:35	27	185380
8/23	10:37	33	51990
8/23	10:49	23	337015
8/23	10:49	23	331452
8/23	10:50	25	234247
8/23	11:07	22	358759
8/23	11:09	36	23507
8/23	11:13	29	134714
8/23	11:25	24	291710
8/23	11:40	26	205242
8/23	11:44	24	307003
8/23	11:48	27	188968
8/23	11:55	31	94559
8/23	11:58	25	255192
8/23	12:02	26	220968
8/23	12:06	30	107772
8/23	12:10	24	324295
8/23	12:15	30	104754
8/23	12:18	28	154079
8/23	12:22	23	340906
8/23	12:25	28	146321
8/23	12:39	26	231923
8/23	12:40	29	137949
8/23	12:53	24	307707
8/23	12:53	25	263581
8/23	12:57	45	405
8/23	12:59	25	276564
8/23	13:09	20	482449
8/23	13:18	23	346978
8/23	13:25	25	246952
8/23	13:28	25	263041
8/23	13:29	27	196348
8/23	13:31	30	101457
8/23	13:33	29	122826
8/23	13:33	26	233194
8/23	13:34	27	186593
8/23	13:37	19	574413
8/23	13:55	28	162742
8/23	13:56	35	37864
8/23	14:21	24	316835
8/23	14:29	23	378494
8/23	14:32	26	241728
8/23	14:39	36	1376
8/23	14:42	33	65234
8/23	14:46	26	222861
8/23	14:50	28	164385
8/23	14:53	31	81442
8/23	14:56	28	178699
8/23	15:01	22	394880
8/23	15:24	33	57421
8/23	15:32	27	207113
8/23	15:37	25	289883
8/23	15:40	28	158059
8/23	15:40	31	92356
8/23	15:43	22	400054
8/23	15:45	29	130129
8/23	15:52	26	249979
8/23	15:58	25	294377
8/23	16:01	15	873253
8/23	16:04	37	21474
8/23	16:07	25	297949
8/23	16:15	28	167851
8/23	16:20	29	131440
8/23	16:23	30	129929
8/23	16:23	25	297548
8/23	16:27	30	130252
8/23	16:28	25	304128
8/23	16:31	21	467322
8/23	16:36	30	119752
8/23	16:37	27	213201
8/23	16:37	28	188902
8/23	16:38	27	197476
8/23	16:39	30	109700
8/23	16:44	34	51079
8/23	16:45	28	175050
8/23	16:49	25	300922
8/23	16:50	45	499
8/23	16:55	27	219913
8/23	17:01	25	289560
8/23	17:02	24	323534
8/23	17:03	29	140466
8/23	17:05	28	189888
8/23	17:13	25	272758
8/23	17:17	24	360391
8/23	17:22	29	142114
8/23	17:25	26	245881
8/23	17:28	26	262565
8/23	17:28	25	276183
8/23	17:31	27	228308
8/23	17:37	25	309027
8/23	17:41	29	158157
8/23	17:44	29	155338
8/23	17:45	36	33732
8/23	17:53	26	239853
8/23	18:12	29	149743
8/23	18:21	30	132720
8/23	18:22	27	221353
8/23	18:24	29	160004
8/23	18:28	28	197900
8/23	18:29	26	240924
8/23	18:32	34	51019
8/23	18:35	26	246613
8/23	18:36	29	157713
8/23	18:37	30	127254
8/23	18:40	28	186206
8/23	18:44	25	306901
8/23	18:51	25	314117
8/23	18:53	25	293162
8/23	18:57	25	326644
8/23	18:59	26	273453
